,posted_on,bhk,size,floor,area_type,area_locality,city,furnishing_status,tenant_preferred,bathroom,point_of_contact,rent,floor_number,3_or_less_bhk,size_type,normalize_rent,Standardization_size
3031,2022-05-12,1,250.0,,super area,adambakkam,chennai,Semi-Furnished,bachelors/family,1.0,Contact Owner,6500,-1.0,1,small,0.09330985915492958,-1.3749899342961678
3032,2022-05-05,2,790.0,2 out of 2,carpet area,kovilancheri,bangalore,Semi-Furnished,bachelors/family,2.0,Contact Owner,10000,2.0,1,medium,0.15492957746478875,-0.1141662666778189
3033,2022-04-30,2,600.0,1 out of 3,super area,medavakkam,chennai,Semi-Furnished,bachelors/family,2.0,Contact Owner,13000,1.0,1,medium,0.20774647887323944,-0.5577894089879787
3034,2022-07-07,2,700.0,1 out of 2,super area,nanganallur,chennai,Unfurnished,bachelors/family,2.0,Contact Owner,11200,1.0,1,medium,0.17605633802816903,-0.32430354461421035
3035,2022-06-02,1,550.0,,carpet area,unknown place,chennai,Unfurnished,bachelors/family,1.0,Contact Owner,8900,-1.0,1,medium,0.13556338028169015,-0.6745323411748628
3036,2022-05-16,1,500.0,Ground out of 2,super area,arumbakkam,chennai,Unfurnished,bachelors/family,1.0,Contact Owner,12000,0.0,1,small,0.19014084507042256,-0.791275273361747
3037,2022-07-05,3,1800.0,2 out of 4,carpet area,royapettah,hyderabad,Unfurnished,bachelors,3.0,Contact Agent,45000,2.0,0,large,0.7711267605633804,2.244040963497241
3038,2022-05-29,3,1550.0,3 out of 4,carpet area,thiruvanmiyur,chennai,Semi-Furnished,bachelors,2.0,Contact Agent,35000,3.0,0,large,0.5950704225352114,1.6603263025628203
3039,2022-07-10,3,1462.0,,carpet area,nandambakkam,chennai,Semi-Furnished,family,3.0,Contact Agent,34999,-1.0,0,large,0.5950528169014085,1.454858741913904
3040,2022-07-06,1,970.0,Ground out of 2,carpet area,pallikaranai,chennai,Semi-Furnished,bachelors/family,2.0,Contact Owner,11000,0.0,1,medium,0.17253521126760565,0.306108289194964
3042,2022-06-22,2,700.0,1 out of 2,super area,nanganallur,chennai,Semi-Furnished,bachelors/family,1.0,Contact Owner,15000,1.0,1,medium,0.24295774647887328,-0.32430354461421035
3043,2022-06-17,2,674.0,,carpet area,"chromepet, gst road",chennai,Unfurnished,bachelors,2.0,Contact Owner,15000,-1.0,1,medium,0.24295774647887328,-0.38500986935139014
3044,2022-05-29,2,750.0,Ground out of 1,carpet area,tambaram east,chennai,Unfurnished,family,2.0,Contact Owner,10000,0.0,1,medium,0.15492957746478875,-0.20756061242732624
3046,2022-06-12,2,1030.0,1 out of 2,carpet area,camp road,chennai,Semi-Furnished,bachelors/family,2.0,Contact Owner,10000,1.0,1,medium,0.15492957746478875,0.446199807819225
3047,2022-05-18,2,1540.0,3 out of 4,super area,unknown place,chennai,Unfurnished,bachelors,2.0,Contact Owner,35000,3.0,1,large,0.5950704225352114,1.6369777161254433
3048,2022-06-29,3,1800.0,,carpet area,unknown place,chennai,Unfurnished,bachelors,1.0,Contact Agent,40000,-1.0,0,large,0.6830985915492959,2.244040963497241
3050,2022-05-06,2,985.0,3 out of 17,super area,oragadam sriperumbudur,chennai,Unfurnished,bachelors/family,2.0,Contact Owner,12000,3.0,1,medium,0.19014084507042256,0.3411311688510293
3052,2022-06-01,2,1200.0,1 out of 1,super area,"tambaram, gst road",chennai,Unfurnished,bachelors/family,2.0,Contact Owner,10000,1.0,1,large,0.15492957746478875,0.8431257772546311
3053,2022-07-02,2,900.0,1 out of 3,super area,unknown place,chennai,Unfurnished,bachelors/family,2.0,Contact Owner,15000,1.0,1,medium,0.24295774647887328,0.14266818413332624
3055,2022-07-06,2,800.0,1 out of 3,carpet area,"perungalathur, chennai bypass road",chennai,Semi-Furnished,bachelors/family,2.0,Contact Owner,9000,1.0,1,medium,0.13732394366197184,-0.09081768024044207
3056,2022-05-25,3,1500.0,3 out of 4,super area,"okkiyam thuraipakkam, e coast road",chennai,Semi-Furnished,bachelors/family,3.0,Contact Owner,30000,3.0,0,large,0.5070422535211269,1.543583370375936
3057,2022-06-07,2,680.0,,super area,t.nagar,chennai,Unfurnished,bachelors/family,2.0,Contact Owner,13000,-1.0,1,medium,0.20774647887323944,-0.371000717488964
3058,2022-06-20,3,800.0,1 out of 2,super area,"kk nagar west, kk nagar",chennai,Semi-Furnished,bachelors/family,2.0,Contact Owner,15000,1.0,0,medium,0.24295774647887328,-0.09081768024044207
3060,2022-05-07,2,880.0,1 out of 2,carpet area,kk nagar,chennai,Semi-Furnished,family,2.0,Contact Owner,20000,1.0,1,medium,0.33098591549295775,0.09597101125857257
3061,2022-07-07,3,1500.0,2 out of 3,super area,choolaimedu,chennai,Semi-Furnished,bachelors/family,3.0,Contact Owner,36000,2.0,0,large,0.6126760563380282,1.543583370375936
3062,2022-05-21,2,950.0,1 out of 1,super area,sithalapakkam,chennai,Unfurnished,bachelors,2.0,Contact Owner,10000,1.0,1,medium,0.15492957746478875,0.2594111163202104
3063,2022-04-29,2,850.0,Ground out of 2,super area,mambalam west,chennai,Semi-Furnished,bachelors/family,2.0,Contact Owner,16000,0.0,1,medium,0.2605633802816901,0.025925251946442084
3064,2022-06-24,1,700.0,,super area,unknown place,chennai,Semi-Furnished,bachelors/family,1.0,Contact Owner,6000,-1.0,1,medium,0.08450704225352114,-0.32430354461421035
3066,2022-05-16,1,450.0,Ground out of 4,super area,nungambakkam,chennai,Unfurnished,bachelors/family,1.0,Contact Owner,6000,0.0,1,small,0.08450704225352114,-0.9080182055486311
3067,2022-06-28,1,400.0,,super area,perungudi,chennai,Unfurnished,bachelors/family,1.0,Contact Owner,6500,-1.0,1,small,0.09330985915492958,-1.0247611377355152
3068,2022-05-12,1,350.0,1 out of 2,super area,ennore,chennai,Unfurnished,bachelors/family,1.0,Contact Owner,3000,1.0,1,small,0.03169014084507043,-1.1415040699223995
3069,2022-05-04,3,1650.0,2 out of 2,carpet area,"thillai ganga nagar, nanganallur",chennai,Semi-Furnished,family,3.0,Contact Owner,27000,2.0,0,large,0.4542253521126761,1.8938121669365886
3070,2022-04-30,2,800.0,Ground out of 2,super area,"tambaram, gst road",chennai,Unfurnished,bachelors,1.0,Contact Agent,8000,0.0,1,medium,0.11971830985915494,-0.09081768024044207
3071,2022-05-20,2,600.0,1 out of 2,super area,abiramapuram,chennai,Unfurnished,bachelors/family,1.0,Contact Owner,12500,1.0,1,medium,0.198943661971831,-0.5577894089879787
3072,2022-05-25,2,800.0,,super area,perungudi,chennai,Unfurnished,bachelors/family,1.0,Contact Owner,11000,-1.0,1,medium,0.17253521126760565,-0.09081768024044207
3074,2022-05-31,2,700.0,1 out of 2,super area,choolaimedu,hyderabad,Unfurnished,bachelors,2.0,Contact Agent,15000,1.0,1,medium,0.24295774647887328,-0.32430354461421035
3076,2022-07-06,3,2120.0,,super area,siruseri,chennai,Furnished,bachelors,3.0,Contact Owner,34000,-1.0,0,large,0.5774647887323944,2.9911957294932994
3077,2022-06-22,1,560.0,2 out of 4,carpet area,unknown place,chennai,Unfurnished,bachelors/family,1.0,Contact Owner,7500,2.0,1,medium,0.1109154929577465,-0.651183754737486
3078,2022-05-13,1,420.0,1 out of 1,carpet area,mambalam west,chennai,Unfurnished,bachelors,1.0,Contact Owner,14000,1.0,1,small,0.22535211267605634,-0.9780639648607616
3079,2022-06-21,2,1000.0,1 out of 2,built area,"chromepet, gst road",chennai,Furnished,bachelors/family,2.0,Contact Owner,15000,1.0,1,medium,0.24295774647887328,0.37615404850709455
3080,2022-05-20,3,1330.0,1 out of 2,super area,ags colony-velachery,bangalore,Semi-Furnished,bachelors/family,3.0,Contact Owner,21000,1.0,0,large,0.3485915492957746,1.14665740094053
3081,2022-07-06,3,930.0,2 out of 8,super area,"kelambakkam, old mahabalipuram road",chennai,Furnished,family,2.0,Contact Owner,12000,2.0,0,medium,0.19014084507042256,0.21271394344545672
3083,2022-05-12,2,1200.0,1 out of 3,super area,pallikaranai,chennai,Unfurnished,bachelors/family,2.0,Contact Owner,15000,1.0,1,large,0.24295774647887328,0.8431257772546311
3084,2022-05-12,1,350.0,Ground out of 2,super area,"tambaram, gst road",chennai,Unfurnished,bachelors/family,3.0,Contact Owner,6000,0.0,1,small,0.08450704225352114,-1.1415040699223995
3085,2022-05-20,3,1000.0,Ground out of 3,super area,virugambakkam,chennai,Semi-Furnished,bachelors/family,1.0,Contact Owner,20500,0.0,0,medium,0.33978873239436624,0.37615404850709455
3087,2022-05-06,2,750.0,,carpet area,pattabiram,chennai,Unfurnished,bachelors/family,2.0,Contact Owner,10000,-1.0,1,medium,0.15492957746478875,-0.20756061242732624
3088,2022-07-08,3,1150.0,1 out of 2,carpet area,unknown place,chennai,Semi-Furnished,bachelors/family,3.0,Contact Owner,15000,1.0,0,large,0.24295774647887328,0.726382845067747
3089,2022-05-16,2,800.0,1 out of 1,carpet area,unknown place,chennai,Unfurnished,family,2.0,Contact Owner,11000,1.0,1,medium,0.17253521126760565,-0.09081768024044207
3090,2022-07-04,2,930.0,1 out of 4,carpet area,tiruvallur,chennai,Furnished,family,2.0,Contact Owner,12000,1.0,1,medium,0.19014084507042256,0.21271394344545672
3092,2022-07-06,2,800.0,13 out of 17,carpet area,vadapalani,chennai,Semi-Furnished,family,2.0,Contact Agent,20000,13.0,1,medium,0.33098591549295775,-0.09081768024044207
3093,2022-05-06,2,850.0,,super area,mylapore,hyderabad,Unfurnished,bachelors/family,2.0,Contact Owner,24000,-1.0,1,medium,0.4014084507042254,0.025925251946442084
3095,2022-06-18,2,770.0,,super area,"perungalathur, chennai bypass road",chennai,Unfurnished,family,1.0,Contact Owner,10000,-1.0,1,medium,0.15492957746478875,-0.16086343955257257
3097,2022-05-18,3,1100.0,4 out of 4,carpet area,jafferkhanpet,chennai,Semi-Furnished,bachelors/family,2.0,Contact Owner,26000,4.0,0,medium,0.43661971830985913,0.6096399128808628
3098,2022-05-12,2,950.0,2 out of 3,super area,anakaputhur,chennai,Semi-Furnished,bachelors/family,2.0,Contact Owner,10000,2.0,1,medium,0.15492957746478875,0.2594111163202104
3099,2022-05-12,3,1250.0,2 out of 3,super area,iyyappanthangal,chennai,Semi-Furnished,bachelors/family,2.0,Contact Owner,15000,2.0,0,large,0.24295774647887328,0.9598687094415153
3100,2022-06-22,1,400.0,Ground out of 3,super area,mylapore,chennai,Unfurnished,bachelors/family,1.0,Contact Owner,9000,0.0,1,small,0.13732394366197184,-1.0247611377355152
3101,2022-07-06,2,575.0,1 out of 2,carpet area,"mappedu, selaiyur",chennai,Semi-Furnished,bachelors/family,2.0,Contact Owner,9000,1.0,1,medium,0.13732394366197184,-0.6161608750814208
3102,2022-06-08,2,1234.0,1 out of 14,super area,medavakkam,chennai,Semi-Furnished,bachelors/family,2.0,Contact Owner,15000,1.0,1,large,0.24295774647887328,0.9225109711417124
3103,2022-07-05,2,870.0,2 out of 2,carpet area,ambattur,chennai,Semi-Furnished,bachelors/family,2.0,Contact Owner,12000,2.0,1,medium,0.19014084507042256,0.07262242482119574
3104,2022-07-02,2,1162.0,2 out of 4,super area,velachery,bangalore,Semi-Furnished,bachelors/family,2.0,Contact Agent,20000,2.0,1,large,0.33098591549295775,0.7544011487925992
3107,2022-06-22,3,900.0,1 out of 4,super area,perambur,chennai,Unfurnished,bachelors/family,1.0,Contact Owner,13000,1.0,0,medium,0.20774647887323944,0.14266818413332624
3108,2022-07-02,1,600.0,1 out of 3,super area,new perungalathur,chennai,Unfurnished,bachelors/family,1.0,Contact Owner,6800,1.0,1,medium,0.09859154929577466,-0.5577894089879787
3109,2022-06-07,2,600.0,,super area,ayanavaram,chennai,Semi-Furnished,bachelors/family,1.0,Contact Owner,9000,-1.0,1,medium,0.13732394366197184,-0.5577894089879787
3110,2022-06-27,3,1600.0,Ground out of 2,carpet area,mathur,chennai,Semi-Furnished,bachelors/family,3.0,Contact Owner,14000,0.0,0,large,0.22535211267605634,1.7770692347497044
3112,2022-07-05,3,1600.0,,carpet area,"adyar, sardar patel road",chennai,Semi-Furnished,bachelors,2.0,Contact Agent,50000,-1.0,0,large,0.8591549295774649,1.7770692347497044
3113,2022-06-14,2,400.0,,carpet area,unknown place,chennai,Unfurnished,bachelors/family,1.0,Contact Owner,8000,-1.0,1,small,0.11971830985915494,-1.0247611377355152
3115,2022-05-28,2,600.0,8 out of 18,carpet area,villvam towers tnhb colony,chennai,Unfurnished,bachelors,2.0,Contact Owner,15000,8.0,1,medium,0.24295774647887328,-0.5577894089879787
3116,2022-06-10,2,750.0,1 out of 2,carpet area,unknown place,bangalore,Unfurnished,bachelors,2.0,Contact Owner,15000,1.0,1,medium,0.24295774647887328,-0.20756061242732624
3117,2022-05-12,2,700.0,1 out of 2,super area,unknown place,chennai,Semi-Furnished,bachelors/family,2.0,Contact Owner,15000,1.0,1,medium,0.24295774647887328,-0.32430354461421035
3119,2022-06-14,1,500.0,Ground out of 3,super area,kk nagar,hyderabad,Semi-Furnished,bachelors/family,1.0,Contact Owner,9000,0.0,1,small,0.13732394366197184,-0.791275273361747
3120,2022-05-06,3,700.0,,super area,ayappakkam,chennai,Unfurnished,bachelors/family,1.0,Contact Owner,6500,-1.0,0,medium,0.09330985915492958,-0.32430354461421035
3121,2022-05-31,2,1480.0,,super area,perumbakkam,bangalore,Furnished,bachelors/family,2.0,Contact Owner,17000,-1.0,1,large,0.278169014084507,1.4968861975011825
3123,2022-05-06,1,830.0,Ground out of 2,super area,unknown place,chennai,Semi-Furnished,bachelors/family,2.0,Contact Owner,15000,0.0,1,medium,0.24295774647887328,-0.02077192092831158
3124,2022-06-23,2,1425.0,2 out of 14,carpet area,"perungalathur, chennai bypass road",hyderabad,Semi-Furnished,bachelors/family,2.0,Contact Owner,25000,2.0,1,large,0.41901408450704225,1.3684689720956098
3125,2022-07-06,3,1550.0,1 out of 3,carpet area,mandaiveli,chennai,Unfurnished,bachelors,3.0,Contact Agent,40000,1.0,0,large,0.6830985915492959,1.6603263025628203
3126,2022-04-30,2,200.0,Ground out of 2,super area,unknown place,chennai,Unfurnished,bachelors/family,1.0,Contact Owner,8000,0.0,1,small,0.11971830985915494,-1.4917328664830518
3127,2022-07-10,2,1200.0,2 out of 2,carpet area,unknown place,chennai,Semi-Furnished,bachelors/family,2.0,Contact Owner,17500,2.0,1,large,0.2869718309859155,0.8431257772546311
3128,2022-07-08,3,800.0,Ground out of 3,carpet area,medavakkam,chennai,Semi-Furnished,bachelors/family,2.0,Contact Owner,11000,0.0,0,medium,0.17253521126760565,-0.09081768024044207
3130,2022-06-28,2,425.0,Ground out of 2,carpet area,old washermanpet,kolkata,Semi-Furnished,bachelors/family,2.0,Contact Owner,11000,0.0,1,small,0.17253521126760565,-0.9663896716420732
3131,2022-05-29,2,940.0,10 out of 19,super area,kazhipattur,chennai,Unfurnished,bachelors/family,1.0,Contact Owner,12500,10.0,1,medium,0.198943661971831,0.23606252988283355
3133,2022-06-17,2,700.0,2 out of 2,super area,"thanikachalam nagar, ponniammanmedu",chennai,Unfurnished,bachelors/family,2.0,Contact Owner,14000,2.0,1,medium,0.22535211267605634,-0.32430354461421035
3135,2022-06-07,2,1145.0,4 out of 4,super area,navalur,hyderabad,Semi-Furnished,bachelors,1.0,Contact Owner,25000,4.0,1,large,0.41901408450704225,0.7147085518490586
3139,2022-07-10,1,800.0,1 out of 4,carpet area,pudupakkam,chennai,Semi-Furnished,bachelors,2.0,Contact Owner,15000,1.0,1,medium,0.24295774647887328,-0.09081768024044207
3140,2022-06-29,2,800.0,4 out of 4,super area,ashok nagar,chennai,Semi-Furnished,bachelors/family,2.0,Contact Owner,22000,4.0,1,medium,0.3661971830985916,-0.09081768024044207
3142,2022-05-16,2,600.0,,super area,unknown place,chennai,Semi-Furnished,bachelors/family,1.0,Contact Owner,10000,-1.0,1,medium,0.15492957746478875,-0.5577894089879787
3143,2022-05-25,1,250.0,Ground out of 3,super area,"aminjikarai, ph road",chennai,Unfurnished,bachelors/family,1.0,Contact Owner,5000,0.0,1,small,0.06690140845070423,-1.3749899342961678
3144,2022-07-05,2,910.0,Ground out of 1,super area,mannivakkam,chennai,Semi-Furnished,bachelors/family,2.0,Contact Owner,10000,0.0,1,medium,0.15492957746478875,0.16601677057070308
3145,2022-06-04,1,1350.0,,super area,kovilambakkam,chennai,Semi-Furnished,bachelors/family,3.0,Contact Owner,15000,-1.0,1,large,0.24295774647887328,1.1933545738152835
3146,2022-05-16,3,450.0,Ground out of 3,carpet area,teynampet,chennai,Unfurnished,bachelors,3.0,Contact Owner,34500,0.0,0,small,0.5862676056338029,-0.9080182055486311
3147,2022-06-14,1,600.0,2 out of 3,carpet area,velachery,chennai,Unfurnished,bachelors/family,1.0,Contact Owner,8000,2.0,1,medium,0.11971830985915494,-0.5577894089879787
3150,2022-06-13,2,850.0,Ground out of 1,carpet area,ags colony-velachery,chennai,Unfurnished,family,2.0,Contact Owner,13000,0.0,1,medium,0.20774647887323944,0.025925251946442084
3151,2022-07-04,2,1000.0,Ground out of 2,super area,"tiruvallur, kakkalur, chennai",chennai,Semi-Furnished,bachelors/family,1.0,Contact Owner,6500,0.0,1,medium,0.09330985915492958,0.37615404850709455
3152,2022-07-02,2,900.0,1 out of 1,carpet area,velachery,chennai,Semi-Furnished,bachelors,2.0,Contact Agent,18000,1.0,1,medium,0.295774647887324,0.14266818413332624
3154,2022-07-02,3,400.0,Ground out of 1,carpet area,dr ranga road,chennai,Unfurnished,bachelors/family,1.0,Contact Owner,8500,0.0,0,small,0.12852112676056338,-1.0247611377355152
3155,2022-07-06,4,1900.0,5 out of 20,carpet area,old mahabalipuram road,chennai,Semi-Furnished,family,4.0,Contact Agent,20000,5.0,0,large,0.33098591549295775,2.477526827871009
3156,2022-06-07,2,900.0,1 out of 2,super area,kolathur,chennai,Semi-Furnished,bachelors/family,2.0,Contact Owner,12000,1.0,1,medium,0.19014084507042256,0.14266818413332624
3159,2022-05-12,2,800.0,2 out of 3,super area,unknown place,chennai,Furnished,bachelors/family,2.0,Contact Owner,12000,2.0,1,medium,0.19014084507042256,-0.09081768024044207
3161,2022-06-10,1,400.0,Ground out of 3,super area,redhills,bangalore,Unfurnished,bachelors/family,1.0,Contact Owner,5700,0.0,1,small,0.07922535211267606,-1.0247611377355152
3162,2022-05-12,1,450.0,2 out of 3,super area,mylapore,chennai,Unfurnished,bachelors/family,1.0,Contact Owner,15000,2.0,1,small,0.24295774647887328,-0.9080182055486311
3163,2022-06-27,2,960.0,,super area,kovilambakkam,chennai,Semi-Furnished,family,2.0,Contact Owner,11000,-1.0,1,medium,0.17253521126760565,0.2827597027575872
3164,2022-05-15,3,1400.0,10 out of 15,super area,unknown place,chennai,Semi-Furnished,bachelors/family,2.0,Contact Agent,17000,10.0,0,large,0.278169014084507,1.3100975060021678
3165,2022-05-12,2,970.0,Ground out of 3,super area,thoraipakkam,chennai,Furnished,bachelors/family,2.0,Contact Owner,18000,0.0,1,medium,0.295774647887324,0.306108289194964
3166,2022-05-12,1,1000.0,1 out of 2,super area,old washermanpet,chennai,Unfurnished,bachelors/family,2.0,Contact Owner,9500,1.0,1,medium,0.14612676056338028,0.37615404850709455
3167,2022-04-29,1,900.0,,carpet area,adambakkam,chennai,Semi-Furnished,bachelors/family,2.0,Contact Owner,12000,-1.0,1,medium,0.19014084507042256,0.14266818413332624
3168,2022-05-19,2,800.0,4 out of 4,super area,unknown place,chennai,Semi-Furnished,bachelors/family,2.0,Contact Owner,8000,4.0,1,medium,0.11971830985915494,-0.09081768024044207
3169,2022-07-04,2,1100.0,Ground out of 1,carpet area,new perungalathur,chennai,Semi-Furnished,family,1.0,Contact Owner,12000,0.0,1,medium,0.19014084507042256,0.6096399128808628
3170,2022-05-12,2,800.0,1 out of 3,super area,thiruvanmiyur,chennai,Unfurnished,bachelors/family,2.0,Contact Owner,16000,1.0,1,medium,0.2605633802816901,-0.09081768024044207
3171,2022-05-12,1,800.0,1 out of 3,super area,poonamalle,chennai,Unfurnished,bachelors/family,1.0,Contact Owner,8000,1.0,1,medium,0.11971830985915494,-0.09081768024044207
3172,2022-05-01,2,898.0,7 out of 14,super area,kalavakkam,chennai,Semi-Furnished,family,2.0,Contact Owner,10000,7.0,1,medium,0.15492957746478875,0.13799846684585088
3173,2022-07-02,2,800.0,Ground out of 2,carpet area,vadapalani,chennai,Semi-Furnished,bachelors/family,2.0,Contact Owner,15000,0.0,1,medium,0.24295774647887328,-0.09081768024044207
3174,2022-06-10,2,600.0,1 out of 2,super area,vandalur,chennai,Unfurnished,bachelors/family,1.0,Contact Agent,7500,1.0,1,medium,0.1109154929577465,-0.5577894089879787
3175,2022-07-02,3,2000.0,,super area,unknown place,chennai,Furnished,bachelors/family,3.0,Contact Owner,30000,-1.0,0,large,0.5070422535211269,2.7110126922447773
3177,2022-07-06,2,1100.0,17 out of 20,carpet area,old mahabalipuram road,chennai,Semi-Furnished,family,2.0,Contact Agent,14000,17.0,1,medium,0.22535211267605634,0.6096399128808628
3178,2022-05-01,2,650.0,1 out of 2,carpet area,near jeyachandran textiles,chennai,Unfurnished,bachelors/family,2.0,Contact Owner,10000,1.0,1,medium,0.15492957746478875,-0.44104647680109454
3179,2022-07-06,3,1100.0,5 out of 18,super area,"korattur, jawaharlal nehru road",chennai,Semi-Furnished,bachelors,2.0,Contact Agent,25000,5.0,0,medium,0.41901408450704225,0.6096399128808628
3180,2022-05-30,2,1250.0,Ground out of 2,carpet area,s.kolathur,chennai,Unfurnished,bachelors/family,3.0,Contact Owner,11500,0.0,1,large,0.1813380281690141,0.9598687094415153
3181,2022-07-08,2,1145.0,1 out of 3,super area,ambattur,kolkata,Unfurnished,bachelors/family,2.0,Contact Owner,11000,1.0,1,large,0.17253521126760565,0.7147085518490586
3182,2022-06-18,2,780.0,2 out of 3,super area,madipakkam,chennai,Semi-Furnished,bachelors/family,2.0,Contact Owner,10000,2.0,1,medium,0.15492957746478875,-0.13751485311519573
3184,2022-05-16,2,860.0,2 out of 3,super area,ashok nagar,chennai,Semi-Furnished,bachelors/family,2.0,Contact Agent,18000,2.0,1,medium,0.295774647887324,0.049273838383818915
3185,2022-06-29,1,600.0,,super area,"perungalathur, chennai bypass road",chennai,Unfurnished,bachelors/family,1.0,Contact Owner,7500,-1.0,1,medium,0.1109154929577465,-0.5577894089879787
3187,2022-06-29,2,800.0,2 out of 2,super area,chitlapakkam,chennai,Unfurnished,bachelors/family,2.0,Contact Owner,12000,2.0,1,medium,0.19014084507042256,-0.09081768024044207
3188,2022-06-29,2,570.0,Ground out of 2,carpet area,"perungalathur, chennai bypass road",mumbai,Unfurnished,bachelors/family,2.0,Contact Owner,12000,0.0,1,medium,0.19014084507042256,-0.6278351683001092
3189,2022-05-20,2,1150.0,2 out of 4,super area,raja annamalai puram,chennai,Furnished,bachelors/family,2.0,Contact Owner,40000,2.0,1,large,0.6830985915492959,0.726382845067747
3190,2022-06-18,1,350.0,Ground out of 1,super area,kolathur,chennai,Unfurnished,bachelors/family,1.0,Contact Owner,5000,0.0,1,small,0.06690140845070423,-1.1415040699223995
3191,2022-06-22,2,894.0,4 out of 4,super area,tiruvenkadam nagar,chennai,Semi-Furnished,bachelors/family,2.0,Contact Owner,20000,4.0,1,medium,0.33098591549295775,0.12865903227090014
3192,2022-06-29,2,600.0,Ground out of 2,super area,perambur,chennai,Semi-Furnished,bachelors/family,1.0,Contact Owner,6500,0.0,1,medium,0.09330985915492958,-0.5577894089879787
3193,2022-06-29,3,900.0,,carpet area,anakaputhur,chennai,Semi-Furnished,bachelors/family,3.0,Contact Owner,12000,-1.0,0,medium,0.19014084507042256,0.14266818413332624
3194,2022-06-29,1,550.0,Ground out of 3,super area,"purasawalkam, ph road",chennai,Unfurnished,bachelors/family,1.0,Contact Owner,12000,0.0,1,medium,0.19014084507042256,-0.6745323411748628
3196,2022-05-20,2,660.0,,carpet area,virugambakkam,chennai,Semi-Furnished,family,2.0,Contact Agent,13000,-1.0,1,medium,0.20774647887323944,-0.4176978903637177
3197,2022-05-31,1,700.0,1 out of 2,carpet area,unknown place,chennai,Unfurnished,bachelors/family,1.0,Contact Owner,9000,1.0,1,medium,0.13732394366197184,-0.32430354461421035
3198,2022-06-05,2,800.0,Ground out of 3,super area,navalur,chennai,Semi-Furnished,bachelors/family,1.0,Contact Owner,10000,0.0,1,medium,0.15492957746478875,-0.09081768024044207
3200,2022-06-29,2,1000.0,Ground out of 4,super area,unknown place,chennai,Semi-Furnished,bachelors/family,2.0,Contact Owner,15000,0.0,1,medium,0.24295774647887328,0.37615404850709455
3201,2022-06-29,2,1500.0,Ground out of 1,super area,porur,chennai,Semi-Furnished,bachelors/family,2.0,Contact Owner,19000,0.0,1,large,0.31338028169014087,1.543583370375936
3202,2022-06-29,2,900.0,1 out of 2,super area,velachery,bangalore,Unfurnished,bachelors/family,2.0,Contact Owner,15000,1.0,1,medium,0.24295774647887328,0.14266818413332624
3203,2022-06-10,2,1700.0,1 out of 2,super area,pallikaranai,chennai,Unfurnished,bachelors/family,2.0,Contact Agent,16000,1.0,1,large,0.2605633802816901,2.0105550991234726
3204,2022-05-20,2,900.0,Ground out of 3,super area,"perungalathur, chennai bypass road",chennai,Semi-Furnished,bachelors/family,2.0,Contact Owner,12000,0.0,1,medium,0.19014084507042256,0.14266818413332624
3205,2022-06-25,2,805.0,Ground out of 3,super area,"madhavaram, guntur chennai highway",delhi,Unfurnished,bachelors/family,2.0,Contact Owner,11000,0.0,1,medium,0.17253521126760565,-0.07914338702175365
3206,2022-06-29,2,750.0,Ground out of 1,super area,kovur,chennai,Unfurnished,bachelors/family,2.0,Contact Owner,8000,0.0,1,medium,0.11971830985915494,-0.20756061242732624
3211,2022-06-22,2,1000.0,2 out of 2,super area,unknown place,chennai,Semi-Furnished,bachelors/family,3.0,Contact Owner,12000,2.0,1,medium,0.19014084507042256,0.37615404850709455
3213,2022-07-06,2,610.0,4 out of 4,carpet area,"kannan colony, pazhavanthangal",chennai,Furnished,bachelors/family,1.0,Contact Agent,23999,4.0,1,medium,0.40139084507042255,-0.5344408225506019
3214,2022-05-25,2,1100.0,,super area,thoraipakkam,chennai,Furnished,family,2.0,Contact Owner,23000,-1.0,1,medium,0.3838028169014085,0.6096399128808628
3215,2022-04-30,2,900.0,2 out of 2,carpet area,thirumangalam-anna nagar west,chennai,Semi-Furnished,bachelors,3.0,Contact Owner,16000,2.0,1,medium,0.2605633802816901,0.14266818413332624
3216,2022-07-06,2,840.0,Ground out of 3,super area,"krishna nagar-chromepet, chromepet",mumbai,Semi-Furnished,bachelors/family,2.0,Contact Owner,14000,0.0,1,medium,0.22535211267605634,0.0025766655090652527
3217,2022-06-07,1,965.0,,super area,mangadu,chennai,Semi-Furnished,bachelors/family,2.0,Contact Owner,13000,-1.0,1,medium,0.20774647887323944,0.2944339959762756
3221,2022-05-10,1,650.0,,carpet area,unknown place,chennai,Semi-Furnished,bachelors/family,2.0,Contact Owner,12000,-1.0,1,medium,0.19014084507042256,-0.44104647680109454
3222,2022-05-20,1,320.0,2 out of 3,super area,kolathur,chennai,Unfurnished,bachelors/family,1.0,Contact Owner,8000,2.0,1,small,0.11971830985915494,-1.21154982923453
3224,2022-07-06,2,850.0,1 out of 3,super area,unknown place,chennai,Unfurnished,bachelors/family,2.0,Contact Owner,12000,1.0,1,medium,0.19014084507042256,0.025925251946442084
3225,2022-06-14,1,550.0,1 out of 2,super area,unknown place,chennai,Unfurnished,bachelors/family,2.0,Contact Owner,7000,1.0,1,medium,0.10211267605633803,-0.6745323411748628
3226,2022-06-17,3,1400.0,12 out of 13,carpet area,"padur, old mahabalipuram road",chennai,Semi-Furnished,family,3.0,Contact Owner,20000,12.0,0,large,0.33098591549295775,1.3100975060021678
